ItemCode,ItemName,Category,Quantity,Unit,UnitCost,Location,PartNumber,Manufacturer,Supplier,Specification
BOLT-M12-100,Hex Bolt M12x100mm,Fasteners,500,PCS,2.50,Warehouse A - Shelf 1A,HB-M12-100,ABC Fasteners,Marine Supply Co,Grade 8.8 Stainless Steel
BOLT-M16-150,Hex Bolt M16x150mm,Fasteners,300,PCS,4.75,Warehouse A - Shelf 1B,HB-M16-150,ABC Fasteners,Marine Supply Co,Grade 8.8 Stainless Steel
NUT-M12-HEX,Hex Nut M12,Fasteners,800,PCS,0.80,Warehouse A - Shelf 1A,HN-M12,ABC Fasteners,Marine Supply Co,Grade 8 Zinc Plated
WASHER-M12,Flat Washer M12,Fasteners,1000,PCS,0.25,Warehouse A - Shelf 1A,FW-M12,ABC Fasteners,Marine Supply Co,Stainless Steel A2
OIL-ENG-15W40,Engine Oil 15W40,Lubricants,200,L,12.50,Engine Room - Oil Storage,EO-15W40,Shell Marine,Oil Distributors Ltd,API CI-4 Marine Diesel Oil
OIL-HYD-68,Hydraulic Oil ISO 68,Lubricants,150,L,15.80,Engine Room - Oil Storage,HO-68,Mobil Industrial,Oil Distributors Ltd,ISO VG 68 Marine Grade
GREASE-MP2,Marine Grease MP2,Lubricants,50,KG,8.90,Engine Room - Oil Storage,MG-MP2,Castrol Marine,Oil Distributors Ltd,NLGI Grade 2 Lithium
PAINT-ACP-20L,Anti-Corrosion Paint,Paints,80,L,45.00,Deck Store - Paint Locker,ACP-20,Jotun Marine,Paint Supplies Inc,Epoxy Based Marine Grade
PAINT-AF-20L,Anti-Fouling Paint,Paints,60,L,65.00,Deck Store - Paint Locker,AFP-20,International Marine,Paint Supplies Inc,Self-Polishing Copolymer
THINNER-20L,Paint Thinner,Paints,100,L,18.50,Deck Store - Paint Locker,THN-20,Hempel Marine,Paint Supplies Inc,Marine Grade Solvent
GLOVE-LATEX-L,Latex Gloves Large,Safety Equipment,500,PAIR,1.20,Safety Equipment Room,LG-L,SafetyPro,Safety Gear Co,Powder-Free Latex
HELMET-WHITE,Safety Helmet White,Safety Equipment,100,PCS,15.00,Safety Equipment Room,SH-W,3M Safety,Safety Gear Co,EN 397 Certified ABS
GOGGLE-CLEAR,Safety Goggles Clear,Safety Equipment,150,PCS,8.50,Safety Equipment Room,SG-C,Uvex Safety,Safety Gear Co,Anti-Fog Polycarbonate Lens
ROPE-NYLON-20MM,Nylon Rope 20mm,Rigging,500,M,3.20,Deck Store - Rigging,NR-20,Marlow Ropes,Rigging Supplies Ltd,8-Strand Plaited Nylon
SHACKLE-12T,Bow Shackle 12 Ton,Rigging,50,PCS,28.00,Deck Store - Rigging,BS-12T,Crosby Group,Rigging Supplies Ltd,Galvanized Steel G-209
